CREATION_DATE,OBJECT_NAME,OBJECT_ID,CENTER_NAME,REF_FRAME,TIME_SYSTEM,MEAN_ELEMENT_THEORY,EPOCH,MEAN_MOTION,ECCENTRICITY,INCLINATION,RA_OF_ASC_NODE,ARG_OF_PERICENTER,MEAN_ANOMALY,EPHEMERIS_TYPE,REV_AT_EPOCH,BSTAR,MEAN_MOTION_DOT,MEAN_MOTION_DDOT,SEMIMAJOR_AXIS,PERIOD,APOAPSIS,PERIAPSIS,OBJECT_TYPE,LAUNCH_DATE,DECAY_DATE
2020-10-01T07:56:08,STARLINK-31,2019-029A,EARTH,TEME,UTC,SGP4,2020-10-01T07:31:19.437888,16.46847225,0.0009041,52.9736,36.3928,295.9879,160.3065,0,7697,0.00018159,0.09808971,1.2623e-05,6525.788,87.439,153.553,141.753,PAYLOAD,2019-05-24,2020-10-01
2020-10-14T00:36:09,STARLINK-52,2019-029AA,EARTH,TEME,UTC,SGP4,2020-10-13T17:23:45.076992,16.33038265,0.0006539,52.9866,227.4445,235.724,124.3359,0,7918,0.0014109,0.08958567,1.2115e-05,6562.524,88.179,188.68,180.098,PAYLOAD,2019-05-24,2020-10-13
2020-09-04T14:46:09,STARLINK-45,2019-029AB,EARTH,TEME,UTC,SGP4,2020-09-04T07:45:46.533600,16.38652946,0.0009412,52.9913,174.9865,250.3159,109.8966,0,7159,0.0021111,0.2512774,1.2274e-05,6547.525,87.877,175.552,163.227,PAYLOAD,2019-05-24,2020-09-04
2020-09-05T03:26:09,STARLINK-44,2019-029AC,EARTH,TEME,UTC,SGP4,2020-09-05T02:13:09.311232,16.35234008,0.0006119,52.9831,172.1242,239.5454,120.5504,0,7165,0.0024119,0.19263879,1.2182e-05,6556.648,88.06,182.525,174.501,PAYLOAD,2019-05-24,2020-09-05
2020-09-28T17:36:09,STARLINK-49,2019-029AD,EARTH,TEME,UTC,SGP4,2020-09-27T20:12:36.285696,16.23728101,0.0008965,53.0037,53.0192,308.653,51.7564,0,7533,0.0027635,0.07478847,1.1984e-05,6587.586,88.684,215.356,203.545,PAYLOAD,2019-05-24,2020-09-29
2020-10-15T12:16:08,STARLINK-72,2019-029AE,EARTH,TEME,UTC,SGP4,2020-10-15T11:24:14.113440,16.49183723,0.000333,52.982,318.7786,292.8532,67.5533,0,7817,0.00016439,0.12398314,1.2643e-05,6519.622,87.315,143.659,139.316,PAYLOAD,2019-05-24,2020-10-16
2020-09-16T18:36:09,STARLINK-35,2019-029AF,EARTH,TEME,UTC,SGP4,2020-09-16T16:58:24.439584,16.41142759,0.0004977,52.9869,110.3679,298.2751,61.7792,0,7351,0.0011425,0.18133919,1.2437e-05,6540.901,87.743,166.021,159.51,PAYLOAD,2019-05-24,2020-09-16
2020-10-13T16:56:09,STARLINK-63,2019-029AG,EARTH,TEME,UTC,SGP4,2020-10-13T16:16:39.726048,16.40378467,5.78e-05,52.9803,332.3076,316.8106,43.5401,0,7785,0.0020466,0.29311092,1.2381e-05,6542.932,87.784,165.176,164.419,PAYLOAD,2019-05-24,2020-10-13
2020-09-14T20:46:09,STARLINK-54,2019-029AH,EARTH,TEME,UTC,SGP4,2020-09-14T20:31:28.168896,16.52546679,0.0020137,52.9827,119.6547,244.8039,224.076,0,7318,0.0001,0.16097244,1.2572e-05,6510.774,87.138,145.75,119.529,PAYLOAD,2019-05-24,2020-09-15
2020-09-16T04:36:09,STARLINK-69,2019-029AJ,EARTH,TEME,UTC,SGP4,2020-09-15T23:53:25.924416,16.31646927,0.0006351,52.9852,113.5784,300.7439,212.2782,0,7341,0.0019064,0.10522816,1.219e-05,6566.254,88.254,192.289,183.949,PAYLOAD,2019-05-24,2020-09-16
